,PCARD_NO,counts,TIME_CATEGORY,STOP_ID
88,000E0E06GFFBG5E0,1,Morning Peak (MP),9000406.0
89,000E0E06GFFBG5E0,2,Morning Peak (MP),9000426.0
90,000E0E06GFFBG5E0,7,Morning Peak (MP),9000455.0
91,000E0E06GFFBG5E0,3,Morning Peak (MP),9011370.0
92,000E0E0B53GBCG33,1,Morning Peak (MP),238.0
93,000E0E0B53GBCG33,1,Morning Peak (MP),2520.0
94,000E0E0B53GBCG33,2,Morning Peak (MP),2624.0
95,000E0E0B53GBCG33,16,Morning Peak (MP),8002634.0
96,000E0E0B53GBCG33,8,Morning Peak (MP),9036965.0
97,000E0E0B53GBCG33,3,Morning Peak (MP),9036966.0
98,000E0E0B595GFF99,35,Morning Peak (MP),226.0
99,000E0E0B595GFF99,87,Morning Peak (MP),234.0
100,000E0E0BFG05E659,11,Morning Peak (MP),206.0
101,000E0E0BFG05E659,23,Morning Peak (MP),419.0
102,000E0E0BFG05E659,1,Morning Peak (MP),2548.0
103,000E0E0BFG05E659,1,Morning Peak (MP),7654.0
104,000E0E0BFG05E659,5,Morning Peak (MP),71142.0
105,000E0E0BFG05E659,5,Morning Peak (MP),71205.0
106,000E0E0BFG05E659,5,Morning Peak (MP),72029.0
107,000E0E0BFG05E659,3,Morning Peak (MP),75215.0
108,000E0E0BFG05E659,3,Morning Peak (MP),75738.0
109,000E0E0BGGC6F39F,3,Morning Peak (MP),217.0
110,000E0E0BGGC6F39F,2,Morning Peak (MP),229.0
111,000E0E0BGGC6F39F,1,Morning Peak (MP),9670.0
112,000E0E0BGGC6F39F,1,Morning Peak (MP),71320.0
113,000E0E0BGGC6F39F,1,Morning Peak (MP),72782.0
114,000E0E0BGGC6F39F,2,Morning Peak (MP),8000805.0
115,000E0E0CCE30C6FB,17,Morning Peak (MP),10839.0
116,000E0E0CCE30C6FB,15,Morning Peak (MP),79721.0
117,000E0E0CCE30C6FB,3,Morning Peak (MP),9007130.0
118,000E0E0E56CBGGBB,1,Morning Peak (MP),72011.0
119,000E0E0E56CBGGBB,2,Morning Peak (MP),72248.0
120,000E0E0E56CBGGBB,1,Morning Peak (MP),8002341.0
121,000E0E0E6E6C905F,1,Morning Peak (MP),7891.0
122,000E0E0E6E6C905F,7,Morning Peak (MP),8132.0
123,000E0E0E6E6C905F,1,Morning Peak (MP),9002701.0
124,000E0E0E965ECGBC,18,Morning Peak (MP),2540.0
125,000E0E0E99BFG9G5,17,Morning Peak (MP),75503.0
126,000E0E0E99BFG9G5,5,Morning Peak (MP),8002143.0
127,000E0E0E9B00E9E0,20,Morning Peak (MP),2732.0
128,000E0E0E9B00E9E0,20,Morning Peak (MP),11420.0
129,000E0E0E9B00E9E0,2,Morning Peak (MP),11596.0
130,000E0E0E9B00E9E0,1,Morning Peak (MP),15239.0
131,000E0E0E9B30B903,2,Morning Peak (MP),72239.0
132,000E0E0E9B955FG0,14,Morning Peak (MP),329.0
133,000E0E0E9B955FG0,17,Morning Peak (MP),330.0
134,000E0E0E9B955FG0,7,Morning Peak (MP),10407.0
135,000E0E0E9B955FG0,1,Morning Peak (MP),71372.0
136,000E0E0E9B955FG0,4,Morning Peak (MP),76351.0
137,000E0E0E9B955FG0,3,Morning Peak (MP),176351.0
138,000E0E0E9B955FG0,4,Morning Peak (MP),8001367.0
139,000E0E0E9B955FG0,5,Morning Peak (MP),9033324.0
140,000E0E0E9BEBGGGF,16,Morning Peak (MP),220.0
141,000E0E0E9BEBGGGF,2,Morning Peak (MP),416.0
142,000E0E0E9BEBGGGF,2,Morning Peak (MP),2642.0
143,000E0E0E9C65335F,19,Morning Peak (MP),331.0
144,000E0E0F9EE6F653,8,Morning Peak (MP),1849.0
145,000E0E0FB0BC996B,13,Morning Peak (MP),1951.0
146,000E0E0FEB050BFB,3,Morning Peak (MP),214.0
147,000E0E0FEB050BFB,14,Morning Peak (MP),222.0
148,000E0E0FEB050BFB,3,Morning Peak (MP),332.0
149,000E0E0FEB050BFB,2,Morning Peak (MP),414.0
150,000E0E0FEB050BFB,1,Morning Peak (MP),71869.0
151,000E0E0FEB050BFB,10,Morning Peak (MP),8003143.0
152,000E0E0FEB050BFB,8,Morning Peak (MP),9006338.0
153,000E0E0FEE069G55,3,Morning Peak (MP),311.0
154,000E0E0FEE069G55,2,Morning Peak (MP),2535.0
155,000E0E0FEE069G55,21,Morning Peak (MP),2560.0
156,000E0E0FEE069G55,1,Morning Peak (MP),2561.0
157,000E0E0FEE0906CE,32,Morning Peak (MP),2743.0
158,000E0E0FEE0906CE,1,Morning Peak (MP),9751.0
159,000E0E0FEE0906CE,1,Morning Peak (MP),8001233.0
160,000E0E0FEE0969E0,1,Morning Peak (MP),230.0
161,000E0E0FEE0969E0,4,Morning Peak (MP),2554.0
162,000E0E0FEE0969E0,17,Morning Peak (MP),2731.0
163,000E0E0FEE5G05CC,17,Morning Peak (MP),201.0
164,000E0E0FEE5G05CC,2,Morning Peak (MP),2621.0
165,000E0E0FEE660C55,2,Morning Peak (MP),207.0
166,000E0E0FEE660C55,33,Morning Peak (MP),2551.0
167,000E0E0G3G0396E0,34,Morning Peak (MP),227.0
168,000E0E0G3G3509FG,27,Morning Peak (MP),1020.0
169,000E0E0G3GC936BB,16,Morning Peak (MP),4109.0
170,000E0E0G3GC936BB,1,Morning Peak (MP),10258.0
171,000E0E0G65EFG56G,9,Morning Peak (MP),430.0
172,000E0E0G65EFG56G,8,Morning Peak (MP),8769.0
173,000E0E0G65EFG56G,18,Morning Peak (MP),9950.0
174,000E0E0G65EFG56G,5,Morning Peak (MP),8002376.0
175,000E0E0G65EFG56G,2,Morning Peak (MP),9009745.0
176,000E0E0G65EFG56G,4,Morning Peak (MP),9009772.0
177,000E0E0G65EFG56G,1,Morning Peak (MP),9009778.0
178,000E0E0G65EFG56G,5,Morning Peak (MP),9009851.0
179,000E0E0G65EFG56G,1,Morning Peak (MP),9010306.0
180,000E0E0G65EFG56G,1,Morning Peak (MP),9010307.0
181,000E0E0G65EFG56G,7,Morning Peak (MP),9136730.0
182,000E0E0GBE5B6C9F,29,Morning Peak (MP),2737.0
183,000E0E0GE33F0G9G,1,Morning Peak (MP),157.0
184,000E0E0GE33F0G9G,16,Morning Peak (MP),330.0
185,000E0E0GE33F0G9G,15,Morning Peak (MP),1015.0
186,000E0E0GE33F0G9G,1,Morning Peak (MP),1016.0
187,000E0E0GE5G669EB,17,Morning Peak (MP),1859.0
188,000E0E0GE5G669EB,1,Morning Peak (MP),7919.0
189,000E0E0GE5G669EB,1,Morning Peak (MP),8349.0
190,000E0E0GE5G669EB,4,Morning Peak (MP),70129.0
191,000E0E0GE5G669EB,7,Morning Peak (MP),9002681.0
192,000E0E0GE9C30965,18,Morning Peak (MP),1006.0
193,000E0E0GE9C30965,1,Morning Peak (MP),2742.0
194,000E0E0GEC3B393F,2,Morning Peak (MP),232.0
195,000E0E0GEC3B393F,1,Morning Peak (MP),332.0
196,000E0E0GEC3B393F,10,Morning Peak (MP),337.0
197,000E0E0GEC3B393F,18,Morning Peak (MP),1006.0
198,000E0E0GEC3B393F,1,Morning Peak (MP),1808.0
199,000E0E0GEC6939CF,17,Morning Peak (MP),1954.0
200,000E0E0GECF6BEB3,7,Morning Peak (MP),1956.0
201,000E0E0GECF6BEB3,1,Morning Peak (MP),2611.0
202,000E0E0GGCE09CG3,1,Morning Peak (MP),153.0
203,000E0E0GGCE09CG3,1,Morning Peak (MP),205.0
204,000E0E0GGCE09CG3,1,Morning Peak (MP),206.0
205,000E0E0GGCE09CG3,1,Morning Peak (MP),246.0
206,000E0E0GGCE09CG3,2,Morning Peak (MP),412.0
207,000E0E0GGCE09CG3,2,Morning Peak (MP),422.0
208,000E0E0GGCE09CG3,1,Morning Peak (MP),1456.0
209,000E0E0GGCE09CG3,3,Morning Peak (MP),2636.0
210,000E0E0GGCE09CG3,4,Morning Peak (MP),2724.0
211,000E0E0GGCE09CG3,2,Morning Peak (MP),7654.0
212,000E0E0GGCE09CG3,1,Morning Peak (MP),8419.0
213,000E0E0GGCE09CG3,1,Morning Peak (MP),11262.0
214,000E0E0GGCE09CG3,1,Morning Peak (MP),71500.0
215,000E0E0GGCE09CG3,4,Morning Peak (MP),72158.0
216,000E0E0GGCE09CG3,1,Morning Peak (MP),72208.0
217,000E0E0GGCE09CG3,1,Morning Peak (MP),72314.0
218,000E0E0GGCE09CG3,1,Morning Peak (MP),72419.0
219,000E0E0GGCE09CG3,1,Morning Peak (MP),73693.0
220,000E0E0GGCE09CG3,1,Morning Peak (MP),74669.0
221,000E0E0GGCE09CG3,6,Morning Peak (MP),77078.0
222,000E0E0GGCE09CG3,1,Morning Peak (MP),77079.0
223,000E0E0GGCEEB0CE,1,Morning Peak (MP),2811.0
224,000E0E0GGEE6CG55,7,Morning Peak (MP),313.0
225,005F5993E30B6GGF,32,Morning Peak (MP),8132.0
226,0069FE0GG96FFCEG,19,Morning Peak (MP),4111.0
227,0069FE0GG96FFCEG,1,Morning Peak (MP),10290.0
228,00EE0F000E030C6F,1,Morning Peak (MP),2802363.0
229,00EE0F000E030C6F,1,Morning Peak (MP),2802527.0
230,00EE0F000E030C6F,1,Morning Peak (MP),2802537.0
231,00EE0F003EGEB935,24,Morning Peak (MP),9447.0
232,00EE0F003EGEB935,1,Morning Peak (MP),9475.0
233,00EE0F003EGEB935,1,Morning Peak (MP),71119.0
234,00EE0F003EGEB935,4,Morning Peak (MP),75001.0
235,00EE0F003EGEB935,5,Morning Peak (MP),75003.0
236,00EE0F003EGEB935,6,Morning Peak (MP),8501302.0
237,00EE0F003EGEB935,4,Morning Peak (MP),9012213.0
238,00EE0F00G95FBCB3,1,Morning Peak (MP),70563.0
239,00EE0F00G95FBCB3,1,Morning Peak (MP),71304.0
240,00EE0F00G95FBCB3,1,Morning Peak (MP),72359.0
241,00EE0F00G95FBCB3,2,Morning Peak (MP),72572.0
242,00EE0F00G95FBCB3,2,Morning Peak (MP),9009135.0
243,00EE0F00G95FBCB3,1,Morning Peak (MP),9011877.0
244,00EE0F00G95FBCB3,1,Morning Peak (MP),9011882.0
245,0659FG0C0GF60366,2,Morning Peak (MP),71196.0
246,0659FG0C0GF60366,3,Morning Peak (MP),71198.0
247,0659FG0C0GF60366,28,Morning Peak (MP),71613.0
248,0659FG0C0GF60366,1,Morning Peak (MP),72012.0
249,0E6E0FG003G395F6,23,Morning Peak (MP),150.0
250,0E6E0FG003G395F6,8,Morning Peak (MP),425.0
251,0E6E0FG003G395F6,1,Morning Peak (MP),1751.0
252,0E6E0FG00F03909B,3,Morning Peak (MP),2823.0
253,0E6E0FG00F03909B,1,Morning Peak (MP),2827.0
254,0E6E0FG0E0CE3EG3,1,Morning Peak (MP),1852.0
255,0E6E0FG0E0CE3EG3,9,Morning Peak (MP),2824.0
256,0E6E0FG0E0CE3EG3,1,Morning Peak (MP),8001591.0
257,0E6E0FG0EFFF093E,1,Morning Peak (MP),1205.0
258,0E6E0FG0EFFF093E,18,Morning Peak (MP),1208.0
259,0E6E0FG0EG9EC9FB,29,Morning Peak (MP),1907.0
260,0E6E0FG0EG9EC9FB,2,Morning Peak (MP),1912.0
261,0E6E0FG0EG9EC9FB,1,Morning Peak (MP),1916.0
262,0E6E0FG0EG9EC9FB,1,Morning Peak (MP),8314.0
263,0E6E0FG0EG9EC9FB,1,Morning Peak (MP),70692.0
264,0E6E0FG0EG9EC9FB,1,Morning Peak (MP),8501377.0
265,0EEE0FG00055E9F6,17,Morning Peak (MP),221.0
266,0EEE0FG0EECFBG0F,21,Morning Peak (MP),2821.0
267,0EEE0FG0EEFG93GF,17,Morning Peak (MP),431.0
268,0EEE0FG0EEFG93GF,1,Morning Peak (MP),1709.0
269,336F0099963G00G5,1,Morning Peak (MP),70689.0
270,336F0099963G00G5,1,Morning Peak (MP),73120.0
271,336F0099963G00G5,2,Morning Peak (MP),73122.0
272,336F0099963G00G5,20,Morning Peak (MP),73123.0
273,336F0099963G00G5,4,Morning Peak (MP),73128.0
274,6EC9FE0FG9650009,1,Morning Peak (MP),222.0
275,6EC9FE0FG9650009,1,Morning Peak (MP),7653.0
276,6EC9FE0FG9650009,1,Morning Peak (MP),9992.0
277,6EC9FE0FG9650009,4,Morning Peak (MP),10517.0
278,6EC9FE0FG9650009,1,Morning Peak (MP),16197.0
279,6EC9FE0FG9650009,2,Morning Peak (MP),70318.0
280,6EC9FE0FG9650009,2,Morning Peak (MP),74952.0
281,6EC9FE0FG9650009,19,Morning Peak (MP),75866.0
282,6EC9FE0FG9650009,7,Morning Peak (MP),8001610.0
283,6EC9FE0FG9650009,9,Morning Peak (MP),9006339.0
284,6EC9FE0FG9650009,1,Morning Peak (MP),9008152.0
285,6EC9FE0FG9650009,2,Morning Peak (MP),9008973.0
286,6EC9FE0FG9650009,7,Morning Peak (MP),9012505.0
287,6EC9FE0FG9650009,8,Morning Peak (MP),9035078.0
288,B00E00030E003E5B0E5C,1,Morning Peak (MP),2801957.0
289,B00E000E0000GEEFG36F,1,Morning Peak (MP),2801438.0
290,B0E53E00396GEFGB,24,Morning Peak (MP),326.0
291,B0E53E00396GEFGB,1,Morning Peak (MP),10843.0
292,B0E53E00396GEFGB,1,Morning Peak (MP),71300.0
293,B0E53E00396GEFGB,30,Morning Peak (MP),73983.0
294,E009FE0006G5359C,1,Morning Peak (MP),11456.0
295,E009FE0006G5359C,1,Morning Peak (MP),71439.0
296,E009FE0006G5359C,4,Morning Peak (MP),72419.0
297,E009FE0006G5359C,2,Morning Peak (MP),8001829.0
298,E009FE0006G5359C,3,Morning Peak (MP),8001834.0
299,E00E000E0000CEGFBCEE,12,Morning Peak (MP),316.0
300,E00E000E0000CEGFBCEE,4,Morning Peak (MP),8501276.0
301,E00E000E0000CEGFBCEE,2,Morning Peak (MP),9010027.0
302,E00E000E0000CEGFBCEE,1,Morning Peak (MP),9012168.0
303,E00E000E0000CEGFBCEE,2,Morning Peak (MP),9113191.0
304,E00E000E000E0CBF9FC5,1,Morning Peak (MP),2645.0
305,E00E000E000E0CBF9FC5,2,Morning Peak (MP),11084.0
306,E00E000E000E0CBF9FC5,2,Morning Peak (MP),13733.0
307,E00E000G0E00B3CC655E,1,Morning Peak (MP),70154.0
308,E00E000G0E00B3CC655E,4,Morning Peak (MP),72014.0
309,E00E000G0E00B3CC655E,1,Morning Peak (MP),8000732.0
310,E00E000G0E00B3CC655E,5,Morning Peak (MP),8000961.0
311,E50E0E9000CCC0CE,35,Morning Peak (MP),4209.0
312,E50E0E9000CCC0CE,23,Morning Peak (MP),8001869.0
313,E50E0E9000CCC0CE,12,Morning Peak (MP),8001938.0
314,E909F909FGBB0006,1,Morning Peak (MP),1813.0
315,E909F909FGBB0006,1,Morning Peak (MP),8002655.0
316,E909F90C00CEG5E0,9,Morning Peak (MP),4106.0
317,E909F90C00CEG5E0,1,Morning Peak (MP),70394.0
318,E909F90C00CEG5E0,2,Morning Peak (MP),70981.0
319,E909F90C00CEG5E0,1,Morning Peak (MP),8001669.0
320,E909F90C00CEG5E0,9,Morning Peak (MP),8002450.0
321,E909F90C00CEG5E0,1,Morning Peak (MP),9003615.0
322,E909F90C00CEG5E0,2,Morning Peak (MP),9003645.0
323,E909F90C00CEG5E0,1,Morning Peak (MP),9012412.0
324,E909F90C9ECB990B,16,Morning Peak (MP),211.0
325,E909F90C9ECB990B,18,Morning Peak (MP),2721.0
326,EEEE0F000C0B330C,1,Morning Peak (MP),420.0
327,EEEE0F000C0B330C,31,Morning Peak (MP),424.0
328,EGF9FE0G9C306609,17,Morning Peak (MP),1859.0
329,EGF9FE0G9C306609,1,Morning Peak (MP),2826.0
330,FE09FF5BBFBE609E,12,Morning Peak (MP),221.0
331,FE09FF5BBFBE609E,8,Morning Peak (MP),237.0
332,FE09FF5BBFBE609E,5,Morning Peak (MP),1801.0
333,FE09FF5BBFBE609E,9,Morning Peak (MP),75428.0
334,FE09FF5BBFBE609E,1,Morning Peak (MP),75430.0
335,FG09FF5363B0F05E,1,Morning Peak (MP),413.0
336,FG09FF5363B0F05E,14,Morning Peak (MP),9009056.0
337,FG09FF5363B0F05E,3,Morning Peak (MP),9009151.0
338,FG09FF5363B0F05E,13,Morning Peak (MP),9009540.0
339,FG09FF5363B0F05E,18,Morning Peak (MP),9011993.0
340,FGFF5EC59B0E60G0,10,Morning Peak (MP),329.0
341,FGFF5EC59B0E60G0,1,Morning Peak (MP),1202.0
342,FGFF5EC59B0E60G0,2,Morning Peak (MP),2722.0
343,FGFF5EC59B0E60G0,3,Morning Peak (MP),2723.0
344,G3550GEB9560FEG9,22,Morning Peak (MP),230.0
345,G3550GEB9560FEG9,1,Morning Peak (MP),60060.0
346,G3550GEB9560FEG9,25,Morning Peak (MP),74577.0
347,G3550GEB9560FEG9,4,Morning Peak (MP),174577.0
348,G3950GE30CGC5EG9,1,Morning Peak (MP),2741.0
349,G3950GE30CGC5EG9,20,Morning Peak (MP),9274.0
350,G3950GE30CGC5EG9,1,Morning Peak (MP),71317.0
351,G3950GE30CGC5EG9,1,Morning Peak (MP),74935.0
352,G5FF906EG5EF0EG9,2,Morning Peak (MP),416.0
353,G5FF906EG5EF0EG9,1,Morning Peak (MP),7931.0
354,G5FF906EG5EF0EG9,24,Morning Peak (MP),7939.0
355,G5FF906EG5EF0EG9,1,Morning Peak (MP),8107.0
356,G5FF906EG5EF0EG9,1,Morning Peak (MP),8220.0
357,G5FF906EG5EF0EG9,1,Morning Peak (MP),72572.0
358,G5FF906EG5EF0EG9,1,Morning Peak (MP),72579.0
359,G5FF906EG5EF0EG9,1,Morning Peak (MP),73053.0
360,G5FF906EG5EF0EG9,1,Morning Peak (MP),73083.0
361,G5FF906EG5EF0EG9,2,Morning Peak (MP),8001608.0
362,G5FF906EG5EF0EG9,2,Morning Peak (MP),9010970.0
363,000E0E005B05G33F,2,Afternoon Peak (AP),204.0
364,000E0E005B05G33F,2,Afternoon Peak (AP),206.0
365,000E0E005B05G33F,1,Afternoon Peak (AP),210.0
366,000E0E005B05G33F,1,Afternoon Peak (AP),423.0
367,000E0E005B05G33F,1,Afternoon Peak (AP),425.0
368,000E0E005B05G33F,1,Afternoon Peak (AP),1004.0
369,000E0E005B05G33F,1,Afternoon Peak (AP),8105.0
370,000E0E005B05G33F,1,Afternoon Peak (AP),8935.0
371,000E0E005B05G33F,1,Afternoon Peak (AP),8966.0
372,000E0E005B05G33F,1,Afternoon Peak (AP),9096.0
373,000E0E005B05G33F,2,Afternoon Peak (AP),72209.0
374,000E0E005B05G33F,3,Afternoon Peak (AP),72214.0
375,000E0E005B05G33F,9,Afternoon Peak (AP),72395.0
376,000E0E005B05G33F,1,Afternoon Peak (AP),79684.0
377,000E0E005B05G33F,1,Afternoon Peak (AP),8002486.0
378,000E0E0096GCF6EB,3,Afternoon Peak (AP),232.0
379,000E0E0096GCF6EB,1,Afternoon Peak (AP),10711.0
380,000E0E0096GCF6EB,1,Afternoon Peak (AP),71349.0
381,000E0E0096GCF6EB,1,Afternoon Peak (AP),2800499.0
382,000E0E00B009C090,1,Afternoon Peak (AP),1805.0
383,000E0E00B009C090,5,Afternoon Peak (AP),1815.0
384,000E0E00B009C090,1,Afternoon Peak (AP),3125.0
385,000E0E0336EC0GEE,1,Afternoon Peak (AP),159.0
386,000E0E0336EC0GEE,2,Afternoon Peak (AP),2544.0
387,000E0E0336EC0GEE,1,Afternoon Peak (AP),2546.0
388,000E0E0359G5035F,1,Afternoon Peak (AP),2744.0
389,000E0E03C6565E5F,1,Afternoon Peak (AP),2543.0
390,000E0E0535660CF9,1,Afternoon Peak (AP),152.0
391,000E0E0535660CF9,1,Afternoon Peak (AP),212.0
392,000E0E0535660CF9,1,Afternoon Peak (AP),410.0
393,000E0E0535660CF9,2,Afternoon Peak (AP),416.0
394,000E0E0535660CF9,1,Afternoon Peak (AP),2530.0
395,000E0E0535660CF9,10,Afternoon Peak (AP),2627.0
396,000E0E0535660CF9,4,Afternoon Peak (AP),2644.0
397,000E0E0535660CF9,1,Afternoon Peak (AP),8231.0
398,000E0E0535660CF9,2,Afternoon Peak (AP),8303.0
399,000E0E0535660CF9,1,Afternoon Peak (AP),70586.0
400,000E0E0535660CF9,2,Afternoon Peak (AP),72426.0
401,000E0E0535660CF9,4,Afternoon Peak (AP),72427.0
402,000E0E0535660CF9,1,Afternoon Peak (AP),9009075.0
403,000E0E0535660CF9,1,Afternoon Peak (AP),9009083.0
404,000E0E0535660CF9,1,Afternoon Peak (AP),9011885.0
405,000E0E0535660CF9,1,Afternoon Peak (AP),9111885.0
406,000E0E053EBEEEEB,1,Afternoon Peak (AP),154.0
407,000E0E053EBEEEEB,24,Afternoon Peak (AP),2639.0
408,000E0E053EBGFCCC,4,Afternoon Peak (AP),240.0
409,000E0E053EBGFCCC,3,Afternoon Peak (AP),9010397.0
410,000E0E05963C6599,2,Afternoon Peak (AP),9380.0
411,000E0E05963C6599,1,Afternoon Peak (AP),11193.0
412,000E0E05963C6599,1,Afternoon Peak (AP),11333.0
413,000E0E05963C6599,1,Afternoon Peak (AP),13387.0
414,000E0E05963C6599,1,Afternoon Peak (AP),70154.0
415,000E0E05B0BG0G0E,1,Afternoon Peak (AP),323.0
416,000E0E05B0BG0G0E,1,Afternoon Peak (AP),72387.0
417,000E0E05B0BG0G0E,4,Afternoon Peak (AP),72925.0
